#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
317;Uber;UBER;S&P 100;Industriales;-124,54;-28,47;126000000,0;390000000,0;-10551329247,0;-24,83;-27,8;16,77;4,88;3340000000,0;3362000000,0;343309091,0;10,13;7,92;45,72;19,23;6709000000,0;6895000000,0;304560000,0;12,24;10,57;37,18;16,27;10615000000,0;9763000000,0;721440000,0;13,43;12,0;37,18;16,27;10615000000,0;9763000000,0;721440000,0;13,43;12,0
318;Union Pacific;UNP;S&P 100;Industriales;57,54;10,69;9531000000,0;5742000000,0;3184109674,0;50,61;41,58;43,14;9,5;4182000000,0;4773000000,0;2455163654,0;49,3;39,69;39,95;9,96;4468000000,0;5894000000,0;2723731894,0;51,39;41,5;38,65;10,24;6066000000,0;5499000000,0;2982660537,0;52,79;42,74;38,65;10,24;6066000000,0;5499000000,0;2982660537,0;52,79;42,74
319;UPS;UPS;S&P 100;Industriales;58,36;16,24;7031000000,0;9335000000,0;7857663946,0;18,65;15,48;38,76;9,47;6080000000,0;5080000000,0;3069313305,0;13,99;10,29;34,59;8,25;6511000000,0;6213000000,0;2164511497,0;13,09;9,12;34,34;7,62;6849000000,0;4765000000,0;1765400000,0;13,45;9,23;34,34;7,62;6849000000,0;4765000000,0;1765400000,0;13,45;9,23
320;U.S. Bancorp;USB;S&P 100;Financiero;11,47;0,86;22925000000,0;21119000000,0;;;;9,82;0,82;19892000000,0;8393000000,0;;;;10,75;0,93;17325000000,0;11350000000,0;;;;11,61;1,09;9278000000,0;7970000000,0;;;;11,61;1,09;9278000000,0;7970000000,0;;;
321;Wells Fargo;WFC;S&P 100;Financiero;7,59;0,73;61198000000,0;27048000000,0;;;;10,31;0,99;66543000000,0;40358000000,0;;;;11,01;1,02;-23533000000,0;3035000000,0;;;;11,78;0,99;-22131000000,0;-19001000000,0;;;;11,78;0,99;-22131000000,0;-19001000000,0;;;
322;ExxonMobil;XOM;S&P 100;Energia;28,58;15,1;51170000000,0;58390000000,0;34166168273,0;19,7;19,7;17,58;9,57;33211000000,0;33450000000,0;13074748790,0;16,02;16,02;12,77;7,43;25704000000,0;30716000000,0;5124121169,0;14,7;14,7;11,12;6,42;23665000000,0;23612000000,0;66905787,0;12,93;12,93;11,12;6,42;23665000000,0;23612000000,0;66905787,0;12,93;12,93
323;GE Vernova;GEV;S&P 100;Industriales;-25,69;-6,15;-627000000,0;-627000000,0;-3564456621,0;-1,77;-7,83;-5,91;-0,95;442000000,0;442000000,0;-1369200000,0;2,8;-0,1;16,26;3,01;1700000000,0;1700000000,0;-1290049239,0;4,7;1,35;43,69;7,75;3710000000,0;3710000000,0;-721770000,0;5,89;3,65;43,69;7,75;3710000000,0;3710000000,0;-721770000,0;5,89;3,65
324;Comcast;CMCSA;S&P 100;Comunicaciones;6,63;2,09;13084000000,0;12646000000,0;-8466040000,0;22,24;10,85;18,61;5,81;9823000000,0;12961000000,0;153015621,0;32,0;20,21;18,92;6,08;15238000000,0;12543000000,0;1261595876,0;30,4;18,43;20,64;7,34;16989000000,0;19235000000,0;3895599745,0;37,5;24,39;20,64;7,34;16989000000,0;19235000000,0;3895599745,0;37,5;24,39
326;S&P Global;SPGI;S&P 100;Financiero;8,93;5,26;4179000000,0;2514000000,0;-713090940,0;53,83;44,77;7,68;4,33;4311000000,0;3567000000,0;-1200905072,0;41,19;32,05;11,62;6,4;5518000000,0;5565000000,0;93837310,0;47,71;39,45;14,36;7,31;6445000000,0;5456000000,0;757111919,0;50,16;42,48;14,36;7,31;6445000000,0;5456000000,0;757111919,0;50,16;42,48
327;Progressive Corp;PGR;S&P 100;Seguros;4,54;0,96;8043000000,0;6557000000,0;;2,97;2,35;19,25;4,4;10887000000,0;10391000000,0;;8,79;8,33;33,14;8,02;14834000000,0;14834000000,0;;14,97;14,59;37,29;9,19;17200000000,0;17200000000,0;;16,9;16,55;37,29;9,19;17200000000,0;17200000000,0;;16,9;16,55
